,source,page number,description,proposed_name,proposed_target,smiles,inchi,inchikey,validation
0,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"ozanimod (Zeposia)
oral S1P(1/5) receptor modulator
0.92 mg QD
annualized relapse rate (ARR) vs. IFNβ-1a
NCT02294058, 02047734 (895, 874 pts)
Neurology - multiple sclerosis
tazemetostat (Tazverik)",ozanimod (Zeposia),oral S1P(1/5) receptor modulator,CC(C)OC1=C(C=C(C=C1)C2=NC(=NO2)C3=C4CC[C@H](C4=CC=C3)NCCO)C#N,"InChI=1S/C23H24N4O3/c1-14(2)29-21-9-6-15(12-16(21)13-24)23-26-22(27-30-23)19-5-3-4-18-17(19)7-8-20(18)25-10-11-28/h3-6,9,12,14,20,25,28H,7-8,10-11H2,1-2H3/t20-/m1/s1",XRVDGNKRPOAQTN-HXUWFJFHSA-N,True
1,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"rimegepant (Nurtec ODT)
oral CGRP GPCR antagonist
75 mg
pain and MBS freedom vs. placebo
NCT03461757 (1466 pts)
Neurology - migraine
selpercatinib (Retevmo)",rimegepant (Nurtec ODT),oral CGRP GPCR antagonist,C1=CC(=C(C(=C1)F)F)[C@@H]2CC[C@H](C3=C(C=CC=N3)[C@H]2N)OC(=O)N4CCC(CC4)N5C6=CC=CN=C6NC5=O,"InChI=1S/C28H28F2N6O3/c29-20-6-1-4-17(23(20)30)18-8-9-22(25-19(24(18)31)5-2-12-32-25)39-28(38)35-14-10-16(11-15-35)36-21-7-3-13-33-26(21)34-27(36)37/h1-7,12-13,16,18,22,24H,8-11,14-15,31H2,(H,33,34,37)/t18-,22+,24-/m0/s1",KRNAOFGYEFKHPB-ANJVHQHFSA-N,True
2,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"erik)
 inhibitor
2 (62 pts)
ma
bia)
 inhibitor
-8 vs. placebo
 pts)
eyo)",erik), inhibitor,CC1=NN(C=N1)C2=NC=C(C3=C2N(C=C3C(=O)C(=O)N4CCN(CC4)C(=O)C5=CC=CC=C5)COP(=O)(O)O)OC,"InChI=1S/C25H26N7O8P/c1-16-27-14-32(28-16)23-21-20(19(39-2)12-26-23)18(13-31(21)15-40-41(36,37)38)22(33)25(35)30-10-8-29(9-11-30)24(34)17-6-4-3-5-7-17/h3-7,12-14H,8-11,15H2,1-2H3,(H2,36,37,38)",SWMDAPWAQQTBOG-UHFFFAOYSA-N,True
3,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"tazemetostat (Tazverik)
oral EZH2 methyltransferase inhibitor
800 mg BID
overall response rate (ORR)
Ph. II NCT02601950/EZH-202 (62 pts)
Oncology - epithelioid sarcoma",tazemetostat (Tazverik),oral EZH2 methyltransferase inhibitor,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,"InChI=1S/C34H44N4O4/c1-5-38(29-10-14-41-15-11-29)32-20-28(27-8-6-26(7-9-27)22-37-12-16-42-17-13-37)19-30(25(32)4)33(39)35-21-31-23(2)18-24(3)36-34(31)40/h6-9,18-20,29H,5,10-17,21-22H2,1-4H3,(H,35,39)(H,36,40)",NSQSAUGJQHDYNO-UHFFFAOYSA-N,True
4,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"selpercatinib (Retevmo)
oral RET fusion kinase inhibitor (WT+mut)
160 mg BID (>50 kg)
overall response rate, duration of response
Ph. I/II NCT03157128/LIBRETTO-001 (304 pts)
Oncology - NSCLC, adv. RET+ MTC",selpercatinib (Retevmo),oral RET fusion kinase inhibitor (WT+mut),COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,"InChI=1S/C29H31N7O3/c1-29(2,37)18-39-24-9-25(28-21(10-30)13-33-36(28)17-24)20-5-6-26(31-12-20)34-15-22-8-23(16-34)35(22)14-19-4-7-27(38-3)32-11-19/h4-7,9,11-13,17,22-23,37H,8,14-16,18H2,1-3H3",XIIOFHFUYBLOLW-UHFFFAOYSA-N,True
5,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"remdesivir (Veklury)
IV nucleotide RNA polymerase inhibitor
200 mg loading dose, 100 mg QD
time to recov., d11/14 clin. status category
04280705, 04292899/2730 (1062, 397, 584)
Infectious Disease - COVID-19
cedazuridine (Inqovi)",remdesivir (Veklury),IV nucleotide RNA polymerase inhibitor,CCC(CC)COC(=O)[C@@H](C)NP(=O)(OC[C@@H]1[C@H]([C@H]([C@](C#N)(C2=CC=C3C(=NC=NN32)N)O1)O)O)OC4=CC=CC=C4,"InChI=1S/C27H35N6O8P/c1-4-18(5-2)13-38-26(36)17(3)32-42(37,41-19-9-7-6-8-10-19)39-14-21-23(34)24(35)27(15-28,40-21)22-12-11-20-25(29)30-16-31-33(20)22/h6-12,16-18,21,23-24,34-35H,4-5,13-14H2,1-3H3,(H,32,37)(H2,29,30,31)/t17-,21-,23-,24-,27+,42?/m1/s1",RWWYLEGWBNMMLJ-LNPAEYNYSA-N,True
6,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"berotralstat (Orladeyo)
oral plasma kallikrein inhibitor
150 mg QD
HAE attacks vs. baseline attack rate
NCT3485911 (120 pts)
Hematology - hereditary angioedema
vibegron (Gemtesa)",berotralstat (Orladeyo),oral plasma kallikrein inhibitor,N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,"InChI=1S/C30H26F4N6O/c31-24-10-9-22(28(37-17-18-7-8-18)21-5-1-3-19(11-21)15-35)13-25(24)38-29(41)26-14-27(30(32,33)34)39-40(26)23-6-2-4-20(12-23)16-36/h1-6,9-14,18,28,37H,7-8,16-17,36H2,(H,38,41)/t28-/m1/s1",UXNXMBYCBRBRFD-MUUNZHRXSA-N,True
7,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"cedazuridine (Inqovi)
oral nucleoside cytidine deaminase inhibitor
100 mg QD (combo), d1-5 on 28-d cycle
CR %, transfus. dependence conversion rate
NCT02103478, NCT03306264 (80, 133 pts)
Oncology - myelodysplastic syndromes",cedazuridine (Inqovi),oral nucleoside cytidine deaminase inhibitor,O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F,"InChI=1S/C9H14F2N2O5/c10-9(11)6(16)4(3-14)18-7(9)13-2-1-5(15)12-8(13)17/h4-7,14-16H,1-3H2,(H,12,17)/t4-,5-,6-,7-/m1/s1",VUDZSIYXZUYWSC-DBRKOABJSA-N,True
8,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"lonafarnib (Zokinvy)
oral farnesyltransferase inhibitor
115 mg/m2 BID, 150 mg/m2 after 4 mo.
% pts w/ successful rate of weight gain
Ph. II 00425607, 00916747 (28, 26 pts)
Genetic Disorders - progeroid laminopathies
selumetinib (Koselgo)
oral MEK1/2 kinase inhibitor
25 mg/m2 BID
overall response rate (ORR)
Ph. II NCT01362803/SPRINT (50 pts)
Neuro-oncology - neurofibromatosis type 1
relugolix (Orgovyx)",lonafarnib (Zokinvy),oral farnesyltransferase inhibitor,CN1C=NC2=C(C(=C(C=C21)C(=O)NOCCO)NC3=C(C=C(C=C3)Br)Cl)F,"InChI=1S/C17H15BrClFN4O3/c1-24-8-21-16-13(24)7-10(17(26)23-27-5-4-25)15(14(16)20)22-12-3-2-9(18)6-11(12)19/h2-3,6-8,22,25H,4-5H2,1H3,(H,23,26)",CYOHGALHFOKKQC-UHFFFAOYSA-N,True
9,List-of-2020-Small-Molecule-Drug-Approvals.pdf,0,"vibegron (Gemtesa)
oral selective β3 adrenergic receptor agonist
75 mg QD
avg. daily micturitions, UUI ep. vs. baseline
NCT03492281/EMPOWUR (1515 pts)
Urology - Overactive bladder",vibegron (Gemtesa),oral selective β3 adrenergic receptor agonist,[H][C@@]1([C@H](O)c2ccccc2)CC[C@H](Cc2ccc(NC(=O)[C@@H]3CCc4nccc(=O)n43)cc2)N1,"InChI=1S/C26H28N4O3/c31-24-14-15-27-23-13-12-22(30(23)24)26(33)29-19-8-6-17(7-9-19)16-20-10-11-21(28-20)25(32)18-4-2-1-3-5-18/h1-9,14-15,20-22,25,28,32H,10-13,16H2,(H,29,33)/t20-,21+,22+,25-/m1/s1",DJXRIQMCROIRCZ-HXKBJWFLSA-N,False
