,source,page number,segment number,description,proposed_name,proposed_target,smiles,inchi,inchikey,validation
0,DH-MOTM-Poster-Jan2023-1.pdf,0,0,"pirtobrutinib
BTK
oral, reversible BTK inhibitor
approved for R/R MCL, in Ph. II/III for CLL/SLL, NHL
activity against CysC481 BTK mutants
FDA approval, January 27, 2023
REDX, ALDERLY PARK, UK (LOXO/LILLY)",pirtobrutinib,BTK,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,"InChI=1S/C22H21F4N5O3/c1-11(22(24,25)26)31-19(27)17(20(28)32)18(30-31)13-5-3-12(4-6-13)10-29-21(33)15-9-14(23)7-8-16(15)34-2/h3-9,11H,10,27H2,1-2H3,(H2,28,32)(H,29,33)/t11-/m0/s1",FWZAWAUZXYCBKZ-NSHDSACASA-N,True
1,DH-MOTM-Poster-Jan2023-1.pdf,0,1,"oral, non-steroidal SERD/SERM
approved for ER+, HER2-, mESR1 adv./metastatic 
BC
degrades ER alpha in dose-dependent manner
FDA approval, January 27, 2023
elacestrant
estrogen receptor (ER)","oral, non-steroidal SERD/SERM","approved for ER+, HER2-, mESR1 adv./metastatic ",[H][C@@]1(c2ccc(OC)cc2N(CC)Cc2ccc(CCNCC)cc2)CCc2cc(O)ccc2C1,"InChI=1S/C30H38N2O2/c1-4-31-17-16-22-6-8-23(9-7-22)21-32(5-2)30-20-28(34-3)14-15-29(30)26-11-10-25-19-27(33)13-12-24(25)18-26/h6-9,12-15,19-20,26,31,33H,4-5,10-11,16-18,21H2,1-3H3/t26-/m1/s1",SIFNOOUKXBRGGB-AREMUKBSSA-N,True
2,DH-MOTM-Poster-Jan2023-1.pdf,0,2,"MK-8189
PDE10A
oral PDE10A inhibitor
Ph. IIb for schizophrenia
from fragment screen + SBDD
J. Med. Chem., January 10, 2023
MERCK, WEST POINT, PA",MK-8189,PDE10A,Cc1ccc([C@H]2C[C@@H]2COc2cc(NCc3nnc(C)s3)nc(C)n2)nc1,"InChI=1S/C19H22N6OS/c1-11-4-5-16(20-8-11)15-6-14(15)10-26-18-7-17(22-12(2)23-18)21-9-19-25-24-13(3)27-19/h4-5,7-8,14-15H,6,9-10H2,1-3H3,(H,21,22,23)/t14-,15+/m1/s1",WQKPZDLZRFTMTI-CABCVRRESA-N,True
3,DH-MOTM-Poster-Jan2023-1.pdf,0,3,"bexotegrast
αvβ6/αvβ1
oral, dual-selective αvβ6-αvβ1 integrin inhibitor
in Ph. II for IPF + PSC
related to reported integrin inhibitors
Press release, January 22, 2023
PLIANT THERAPEUTICS, SAN FRANCISCO, CA",bexotegrast,αvβ6/αvβ1,COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O,"InChI=1S/C27H36N6O3/c1-36-18-17-33(15-5-4-8-21-12-11-20-7-6-14-28-25(20)31-21)16-13-24(27(34)35)32-26-22-9-2-3-10-23(22)29-19-30-26/h2-3,9-12,19,24H,4-8,13-18H2,1H3,(H,28,31)(H,34,35)(H,29,30,32)/t24-/m0/s1",CWOFQJBATWQSHL-DEOSSOPVSA-N,True
4,DH-MOTM-Poster-Jan2023-1.pdf,0,4,"BDM2
LEDGF-IN
oral HIV-1 IN-LEDGF/p75 allosteric inhibitor
Ph. I for FIH safety
from cell screen of INLAI library
BioRxiv, January 28, 2022
BIODIM, ROMAINVILLE, FR",BDM2,LEDGF-IN,Cc1ccc(C2CC2)c(-c2ccc3c(c2)CCCO3)c1[C@H](OC(C)(C)C)C(=O)O,"InChI=1S/C25H30O4/c1-15-7-11-19(16-8-9-16)22(21(15)23(24(26)27)29-25(2,3)4)18-10-12-20-17(14-18)6-5-13-28-20/h7,10-12,14,16,23H,5-6,8-9,13H2,1-4H3,(H,26,27)/t23-/m0/s1",UDFCYQOJPMKLMT-QHCPKHFHSA-N,True
5,DH-MOTM-Poster-Jan2023-1.pdf,0,5,"GB0139
galectin-3
inhaled galectin-3 inhibitor
Ph. II for IPF + Ph. Ib/IIa for COVID-19 pneumonitis
synthetic galactoside derivative
medRxiv, January 10, 2023
GALECTO, INC., COPENHAGEN, DE",GB0139,galectin-3,C1=CC(=CC(=C1)F)C2=CN(C3C([C@@H](CO)OC([C@@H]3O)S[C@H]4C(C([C@H](C(CO)O4)O)N5C=C(C6=CC(=CC=C6)F)N=N5)O)O)N=N2,"InChI=1S/C28H30F2N6O8S/c29-15-5-1-3-13(7-15)17-9-35(33-31-17)21-23(39)19(11-37)43-27(25(21)41)45-28-26(42)22(24(40)20(12-38)44-28)36-10-18(32-34-36)14-4-2-6-16(30)8-14/h1-10,19-28,37-42H,11-12H2/t19-,20?,21?,22?,23?,24+,25-,26?,27?,28+/m1/s1",YGIDGBAHDZEYMT-ZOERGNDLSA-N,True
6,DH-MOTM-Poster-Jan2023-1.pdf,0,6,"saridegib
SMO
oral SMO inhibitor
Ph. III for Gorlin syndrome
from SAR of in-house library hit
Press release, January 27, 2023
INFINITY PHARM., CAMBRIDGE, MA (SOL-GEL)",saridegib,SMO,[H]C(C)CCOC1234CC5(C)(=CCC678([H])C([H])(C1(=C(C)C52)C3([H])C)[CH]12359%10C%11C%12%13C61%14([H])C16%15%16([H])C2C2%17%18%19%20([H])CC%21%22([H])(NS(C)(=O)=O)C%23CC%127123%24%25(C)C%231CC([H])(N%21S(C)(=O)=O)C%22%17C%11%24(C6%185)(C18%15%199C)C%13%14%16%20%10%25)C4,,,False
7,DH-MOTM-Poster-Jan2023-1.pdf,0,7,"baxdrostat
aldosterone synthase
oral aldosterone synthase (CYP11B2) inhibitor
Ph. I/II for HTN, CKD, primary aldosteronism
from in-house screen of aldosterone 
synthase inhibitors
Press release, January 9, 2023
ROCHE, BASEL, CH (CINCOR/ASTRAZENECA)",baxdrostat,aldosterone synthase,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,"InChI=1S/C22H25N3O2/c1-3-21(26)24-19-6-4-5-16-17(12-23-13-18(16)19)14-7-9-20-15(11-14)8-10-22(27)25(20)2/h7,9,11-13,19H,3-6,8,10H2,1-2H3,(H,24,26)/t19-/m1/s1",VDEUDSRUMNAXJG-LJQANCHMSA-N,True
8,DH-MOTM-Poster-Jan2023-1.pdf,0,8,"PF-6870961
GHSR1a
GHSR1a inverse agonist 
(metabolite of oral molecule)
Ph. Ia for heavy alcohol drinking
major hydroxy metabolite of PF-5190457
JPET, January 11, 2023",PF-6870961,GHSR1a,Cc1cc(-c2ccc3c(c2)CC[C@H]3N2CC3(CCN(C(=O)Cc4cn5cc(C)sc5n4)CC3)C2)nc(O)n1,"InChI=1S/C29H32N6O2S/c1-18-11-24(32-27(37)30-18)21-3-5-23-20(12-21)4-6-25(23)35-16-29(17-35)7-9-33(10-8-29)26(36)13-22-15-34-14-19(2)38-28(34)31-22/h3,5,11-12,14-15,25H,4,6-10,13,16-17H2,1-2H3,(H,30,32,37)/t25-/m1/s1",QVWZNQBFKUFFHO-RUZDIDTESA-N,False
9,DH-MOTM-Poster-Jan2023-1.pdf,0,9,"JNJ-65234637
BCL6
oral BCL6 BTB inhibitor
promising in vitro safety + in vivo oral PK data
from virtual screen + SBDD
ACS Med. Chem. Lett., January 12, 2023
OICR, TORONTO, CA (JANSSEN)",JNJ-65234637,BCL6,C[C@H]1CN(C)CCN1c1cc(NC(=O)Cn2cc(-c3cc(C(N)=O)c(O)c(F)c3F)c3c(=O)n4c(nc32)CCC4)c(Cl)c(F)n1,"InChI=1S/C29H28ClF3N8O4/c1-13-10-38(2)6-7-40(13)19-9-17(22(30)26(33)36-19)35-20(42)12-39-11-16(14-8-15(27(34)44)25(43)24(32)23(14)31)21-28(39)37-18-4-3-5-41(18)29(21)45/h8-9,11,13,43H,3-7,10,12H2,1-2H3,(H2,34,44)(H,35,36,42)/t13-/m0/s1",LGAFZGSECXDYIR-ZDUSSCGKSA-N,True
