,source,smiles,inchi,validated by Unichem
0,DH-MOTM-Poster-May2023.pdf,C[C@H](C1=CC(=C(C=C1)[N+](=O)[O-])OC2=CC=CC(=C2)C(=O)N(C)C)OP(=O)(N3CC3)N4CC4,"InChI=1S/C21H25N4O6P/c1-15(31-32(29,23-9-10-23)24-11-12-24)16-7-8-19(25(27)28)20(14-16)30-18-6-4-5-17(13-18)21(26)22(2)3/h4-8,13-15H,9-12H2,1-3H3/t15-/m1/s1",True
1,DH-MOTM-Poster-May2023.pdf,CC(=O)N1CCC(CC1)COC2=CN=C(C=C2)C3=CC=NN3,"InChI=1S/C16H20N4O2/c1-12(21)20-8-5-13(6-9-20)11-22-14-2-3-15(17-10-14)16-4-7-18-19-16/h2-4,7,10,13H,5-6,8-9,11H2,1H3,(H,18,19)",True
2,DH-MOTM-Poster-May2023.pdf,CC1=CN(C)N=C1[C@@H](C2(C)CCCC2)NC3=C(C(=O)C3=O)NC4=C(C(=NC=I4)C(=O)N(C)C)O,"InChI=1S/C23H29IN6O4/c1-12-10-30(5)28-13(12)20(23(2)8-6-7-9-23)26-14-15(18(32)17(14)31)27-21-19(33)16(25-11-24-21)22(34)29(3)4/h10-11,20,26-27,33H,6-9H2,1-5H3/t20-/m0/s1",False
3,DH-MOTM-Poster-May2023.pdf,C=CC(=O)N1C[C@@H](CC[C@@H]1C)NC2=NC=NC3=C2C=CN3,"InChI=1S/C15H19N5O/c1-3-13(21)20-8-11(5-4-10(20)2)19-15-12-6-7-16-14(12)17-9-18-15/h3,6-7,9-11H,1,4-5,8H2,2H3,(H2,16,17,18,19)/t10-,11+/m0/s1",True
4,DH-MOTM-Poster-May2023.pdf,CC(C)C1=CC(=CC=C1O)CC2=C(C)C=C(C=C2C)OC[P@@]3(=O)OCC[C@@H](C4=CC=CC(=C4)Cl)O3,"InChI=1S/C28H32ClO5P/c1-18(2)25-14-21(8-9-27(25)30)15-26-19(3)12-24(13-20(26)4)32-17-35(31)33-11-10-28(34-35)22-6-5-7-23(29)16-22/h5-9,12-14,16,18,28,30H,10-11,15,17H2,1-4H3/t28-,35+/m0/s1",True
5,DH-MOTM-Poster-May2023.pdf,C[C@H]1CN(CCN1C2=CC=C(N=C2)NC3=CC(=CN(C)C3=O)C4=C(CO)C(=NC=C4)N5CCN6C(=CC7=C6CC(C)(C)C7)C5=O)C8COC8,"InChI=1S/C37H44N8O4/c1-23-18-42(27-21-49-22-27)9-10-43(23)26-5-6-33(39-17-26)40-30-13-25(19-41(4)35(30)47)28-7-8-38-34(29(28)20-46)45-12-11-44-31(36(45)48)14-24-15-37(2,3)16-32(24)44/h5-8,13-14,17,19,23,27,46H,9-12,15-16,18,20-22H2,1-4H3,(H,39,40)/t23-/m0/s1",True
6,DH-MOTM-Poster-May2023.pdf,CCC1=C(N(C)C2=NC(=C(C#N)S2)C3=CC=C(C=C3)F)N4C=C(C=C(C)C4=N1)N5CCN(CC5)CC(=O)N6CC(C6)O,"InChI=1S/C30H33FN8O2S/c1-4-24-29(35(3)30-34-27(25(14-32)42-30)20-5-7-21(31)8-6-20)39-15-22(13-19(2)28(39)33-24)37-11-9-36(10-12-37)18-26(41)38-16-23(40)17-38/h5-8,13,15,23,40H,4,9-12,16-18H2,1-3H3",True
7,DH-MOTM-Poster-May2023.pdf,C[C@H]1CNCCN1C2=NC=CC(=N2)C3=NOC4=C3CCC[C@]54CCCC6=C5C(=C(N)S6)C#N,"InChI=1S/C24H27N7OS/c1-14-13-27-10-11-31(14)23-28-9-6-17(29-23)20-15-4-2-7-24(21(15)32-30-20)8-3-5-18-19(24)16(12-25)22(26)33-18/h6,9,14,27H,2-5,7-8,10-11,13,26H2,1H3/t14-,24-/m0/s1",False
8,DH-MOTM-Poster-May2023.pdf,CC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)C(CN(C)C)C3(CCCCC3)O,"InChI=1S/C24H31NO3/c1-18-7-9-20(10-8-18)23(26)28-21-13-11-19(12-14-21)22(17-25(2)3)24(27)15-5-4-6-16-24/h7-14,22,27H,4-6,15-17H2,1-3H3",True
9,DH-MOTM-Poster-May2023.pdf,CC(C)(C(=O)N1CC[C@@]([2H])([C@]1([2H])CC2=CC=CC(=C2F)C3=CC(=CC(=C3)F)F)NS(=O)(=O)C)O,"InChI=1S/C22H25F3N2O4S/c1-22(2,29)21(28)27-8-7-18(26-32(3,30)31)19(27)11-13-5-4-6-17(20(13)25)14-9-15(23)12-16(24)10-14/h4-6,9-10,12,18-19,26,29H,7-8,11H2,1-3H3/t18-,19-/m0/s1/i18D,19D",False
