,year,segment_month,segment_number,smiles,inchi,validated by Unichem,,,,,,
0,2022,January,1,C1=CC2=C(C=C1)OC(=C2)C(=O)N[C@@H]3C4CCN(CC4)[C@H]3CC5=CC=CN=C5,"InChI=1S/C22H23N3O2/c26-22(20-13-17-5-1-2-6-19(17)27-20)24-21-16-7-10-25(11-8-16)18(21)12-15-4-3-9-23-14-15/h1-6,9,13-14,16,18,21H,7-8,10-12H2,(H,24,26)/t18-,21+/m0/s1",True,,,,,,
1,2022,January,2,C[C@@H]([C@@H](C1=CC=C(C=C1)C2CC2)OC3=CC=C(C=C3)C(=O)O[C@H]4CCCN(C4)C(=O)[C@@H]5CC(=O)OC5)NC(=O)[C@H]6CCCO6,"InChI=1S/C34H40N2O8/c1-21(35-32(38)29-5-3-17-41-29)31(24-10-8-23(9-11-24)22-6-7-22)43-27-14-12-25(13-15-27)34(40)44-28-4-2-16-36(19-28)33(39)26-18-30(37)42-20-26/h8-15,21-22,26,28-29,31H,2-7,16-20H2,1H3,(H,35,38)/t21-,26+,28-,29+,31-/m0/s1",True,,,,INVALID SMILES RATE:,,1.7%
2,2022,January,3,CC[C@@H](C(=O)NC1=CC(=C(C#C1)C(=O)N)F)N2C=C(C(=CC2=O)C3=C(C=CC(=C3)Cl)N4C=C(C(F)(F)F)N=N4)OC,"InChI=1S/C26H19ClF4N6O4/c1-3-19(25(40)33-14-5-6-15(24(32)39)18(28)9-14)36-11-21(41-2)17(10-23(36)38)16-8-13(27)4-7-20(16)37-12-22(34-35-37)26(29,30)31/h4,7-12,19H,3H2,1-2H3,(H2,32,39)(H,33,40)/t19-/m0/s1",False,,,,INCHI NOT IN UNICHEM RATE:,,23.3%
3,2022,January,4,C1[C@@]2([2H])[C@H]([C@H]([C@]([2H])(N3C=NC4=C3N=CN=C4N)O2)OP(=O)(OC[C@@]5([2H])[C@H]([C@H]([C@]([2H])(N6C=NC7=C6N=CN=C7N)O5)O)OP(=O)(O1)S)S)O,"InChI=1S/C20H24N10O10P2S2/c21-15-9-17(25-3-23-15)29(5-27-9)19-12(32)13-8(38-19)2-36-42(34,44)40-14-11(31)7(1-35-41(33,43)39-13)37-20(14)30-6-28-10-16(22)24-4-26-18(10)30/h3-8,11-14,19-20,31-32H,1-2H2,(H,33,43)(H,34,44)(H2,21,23,25)(H2,22,24,26)/t7-,8-,11+,12+,13+,14+,19+,20+,41?,42?/m0/s1/i7D,8D,19D,20D",False,,,,EXTRACTED/EXPECTED RATE:,,76.7%
4,2022,January,5,CN1C(=C(C=N1)C2=CC3=C(C=C2)C(=O)NN=C3CN)C4=C(C#N)C(=CC(=C4F)Cl)OC5CC5,"InChI=1S/C23H18ClFN6O2/c1-31-22(20-15(8-26)19(33-12-3-4-12)7-17(24)21(20)25)16(10-28-31)11-2-5-13-14(6-11)18(9-27)29-30-23(13)32/h2,5-7,10,12H,3-4,9,27H2,1H3,(H,30,32)",True,,,,,,
5,2022,January,6,CC1=CN2C(=C(C=N2)C3=CC=C(C=C3F)C(=O)N([C@@H]4CCCNC4)C5=C(C)C=CC=N5)N=C1,"InChI=1S/C25H25FN6O/c1-16-12-29-24-21(14-30-31(24)15-16)20-8-7-18(11-22(20)26)25(33)32(19-6-4-9-27-13-19)23-17(2)5-3-10-28-23/h3,5,7-8,10-12,14-15,19,27H,4,6,9,13H2,1-2H3/t19-/m1/s1",False,,,,,,
6,2022,January,7,C=C(C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@@](CC6)(CF)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12)NCCN7CCS(=O)(=O)CC7,"InChI=1S/C43H67FN2O4S/c1-29(2)31-12-19-43(45-22-23-46-24-26-51(49,50)27-25-46)21-20-40(6)33(36(31)43)8-9-35-39(5)15-13-32(38(3,4)34(39)14-16-41(35,40)7)30-10-17-42(28-44,18-11-30)37(47)48/h10,13,31,33-36,45H,1,8-9,11-12,14-28H2,2-7H3,(H,47,48)/t31-,33+,34-,35+,36+,39-,40+,41+,42+,43-/m0/s1",True,,,,,,
7,2022,January,8,CN1C=C2C=C(C(=CC2=N1)Cl)N=C3NC(=O)N(CC4=NN(C)C=N4)C(=O)N3CC5=C(C=C(C(=C5)F)F)F,"InChI=1S/C22H17ClF3N9O2/c1-32-7-12-4-18(13(23)5-17(12)30-32)28-20-29-21(36)35(9-19-27-10-33(2)31-19)22(37)34(20)8-11-3-15(25)16(26)6-14(11)24/h3-7,10H,8-9H2,1-2H3,(H,28,29,36)",True,,,,,,
8,2022,January,9,CC1(C)CCC2=C(C1)SC(=C2C(=O)N/N=C/C3=CC=C(C(=C3)C(F)(F)F)Cl)NC(=O)C4=CC=CC(=C4)COCCOCCN(CCOC)CC(=O)O,"InChI=1S/C36H42ClF3N4O7S/c1-35(2)10-9-26-29(19-35)52-34(31(26)33(48)43-41-20-23-7-8-28(37)27(18-23)36(38,39)40)42-32(47)25-6-4-5-24(17-25)22-51-16-15-50-14-12-44(11-13-49-3)21-30(45)46/h4-8,17-18,20H,9-16,19,21-22H2,1-3H3,(H,42,47)(H,43,48)(H,45,46)/b41-20+",False,,,,,,
9,2022,January,10,CC1=CC(=CC=C1CN2CCN[C@@H](C)C2)N(C)C(=O)C3CCC(CC3)OC4=CC=CC(=C4)CO.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,"InChI=1S/C28H39N3O3.C4H6O6/c1-20-15-25(10-7-24(20)18-31-14-13-29-21(2)17-31)30(3)28(33)23-8-11-26(12-9-23)34-27-6-4-5-22(16-27)19-32;5-1(3(7)8)2(6)4(9)10/h4-7,10,15-16,21,23,26,29,32H,8-9,11-14,17-19H2,1-3H3;1-2,5-6H,(H,7,8)(H,9,10)/t21-,23?,26?;1-,2-/m01/s1",False,,,,,,
