,source,smiles,inchi,inchikey,validation
0,DH-2022-Small-Drug-Approvals-v3.pdf,CC1C(C)C23CC24CC43C1C,"InChI=1S/C11H16/c1-6-7(2)10-4-9(10)5-11(9,10)8(6)3/h6-8H,4-5H2,1-3H3",HVBWKBDDHRNHFV-UHFFFAOYSA-N,False
1,DH-2022-Small-Drug-Approvals-v3.pdf,O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1,"InChI=1S/C24H26N4O3S/c29-24(28-15-13-27(14-16-28)17-18-6-7-18)20-8-10-21(11-9-20)26-32(30,31)22-5-1-3-19-4-2-12-25-23(19)22/h1-5,8-12,18,26H,6-7,13-17H2",XAYGBKHKBBXDAK-UHFFFAOYSA-N,True
2,DH-2022-Small-Drug-Approvals-v3.pdf,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,"InChI=1S/C32H35ClFN7O2/c1-21(34)31(42)41-17-16-40(18-23(41)11-13-35)30-25-12-15-39(28-10-4-7-22-6-3-9-26(33)29(22)28)19-27(25)36-32(37-30)43-20-24-8-5-14-38(24)2/h3-4,6-7,9-10,23-24H,1,5,8,11-12,14-20H2,2H3/t23-,24-/m0/s1",PEMUGDMSUDYLHU-ZEQRLZLVSA-N,True
3,DH-2022-Small-Drug-Approvals-v3.pdf,CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,"InChI=1S/C17H18O2/c1-12(2)17-15(18)10-14(11-16(17)19)9-8-13-6-4-3-5-7-13/h3-12,18-19H,1-2H3/b9-8+",ZISJNXNHJRQYJO-CMDGGOBGSA-N,True
4,DH-2022-Small-Drug-Approvals-v3.pdf,O=C(O)CCC(NC(=O)NC(CCCCNC(=O)C(CC1=CC=C2C=CC=CC2=C1)NC(=O)C1CCC(CNC(=O)N2CCN(CCN34CCN567(CC(=O)O[Lu]35OC(=O)C4)C3C6C37)CC(=O)OC2)CC1)C(=O)O)C(=O)O,"InChI=1S/C50H69N9O16.Lu/c60-38(61)15-14-36(48(71)72)55-49(73)54-35(47(69)70)7-3-4-16-51-46(68)37(24-31-10-11-32-5-1-2-6-34(32)23-31)53-45(67)33-12-8-30(9-13-33)25-52-50(74)58-20-19-56(27-41(66)75-29-58)17-18-57(26-39(62)63)21-22-59(28-40(64)65)42-43(59)44(42)59;/h1-2,5-6,10-11,23,30,33,35-37,42-44H,3-4,7-9,12-22,24-29H2,(H,51,68)(H,52,74)(H,53,67)(H,60,61)(H,62,63)(H,64,65)(H,69,70)(H,71,72)(H2,54,55,73);/q;+2/p-2/t30-,33-,35?,36-,37-,42?,43?,44?;/m1./s1",PKZHHIKXIVXQAF-SOLYXNBVSA-L,False
5,DH-2022-Small-Drug-Approvals-v3.pdf,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@]1([H])[C@@H](O)C2,"InChI=1S/C26H45NO6S/c1-16(4-7-23(30)27-12-13-34(31,32)33)19-5-6-20-24-21(9-11-26(19,20)3)25(2)10-8-18(28)14-17(25)15-22(24)29/h16-22,24,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)/t16-,17+,18-,19-,20+,21+,22+,24+,25+,26-/m1/s1",BHTRKEVKTKCXOH-LBSADWJPSA-N,True
6,DH-2022-Small-Drug-Approvals-v3.pdf,CCC[S@SP3](=O)(=O)N[C@@H]1C[C@H](N(C)c2ncnc3[nH]ccc23)C1,"InChI=1S/C14H21N5O2S/c1-3-6-22(20,21)18-10-7-11(8-10)19(2)14-12-4-5-15-13(12)16-9-17-14/h4-5,9-11,18H,3,6-8H2,1-2H3,(H,15,16,17)/t10-,11+",IUEWXNHSKRWHDY-PHIMTYICSA-N,True
7,DH-2022-Small-Drug-Approvals-v3.pdf,CC(C)OC(=O)CNc1cccc(CN(Cc2ccc(-n3cccn3)cc2)S(=O)(=O)c2cccnc2)n1,"InChI=1S/C26H28N6O4S/c1-20(2)36-26(33)17-28-25-8-3-6-22(30-25)19-31(37(34,35)24-7-4-13-27-16-24)18-21-9-11-23(12-10-21)32-15-5-14-29-32/h3-16,20H,17-19H2,1-2H3,(H,28,30)",VIQCWEGEHRBLAC-UHFFFAOYSA-N,True
8,DH-2022-Small-Drug-Approvals-v3.pdf,CC(C)(C#Cc1ccc(-c2ccc(Cl)c3c(NS(C)(=O)=O)nn(CC(F)(F)F)c23)c([C@H](Cc2cc(F)cc(F)c2)NC(=O)Cn2nc(C(F)(F)F)c3c2C(F)(F)[C@@H]2C[C@H]32)n1)S(C)(=O)=O,,,False
9,DH-2022-Small-Drug-Approvals-v3.pdf,CC(C)n1c(=O)cc(N[C@@H](C)c2ccccc2)[nH]c1=O,"InChI=1S/C15H19N3O2/c1-10(2)18-14(19)9-13(17-15(18)20)16-11(3)12-7-5-4-6-8-12/h4-11,16H,1-3H3,(H,17,20)/t11-/m0/s1",RLCLASQCAPXVLM-NSHDSACASA-N,True
10,DH-2022-Small-Drug-Approvals-v3.pdf,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,"InChI=1S/C22H22N6O3/c1-4-19(29)27-8-7-15(12-27)28-22-20(21(23)24-13-25-22)18(26-28)6-5-14-9-16(30-2)11-17(10-14)31-3/h4,9-11,13,15H,1,7-8,12H2,2-3H3,(H2,23,24,25)/t15-/m0/s1",KEIPNCCJPRMIAX-HNNXBMFYSA-N,True
11,DH-2022-Small-Drug-Approvals-v3.pdf,COc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3c(C)c(Cl)ccc3[nH]2)c1,"InChI=1S/C23H23ClN6O2/c1-14-17(24)6-7-18-20(14)28-22(27-18)23(2)9-4-12-29(23)21(31)16-13-15(32-3)5-8-19(16)30-25-10-11-26-30/h5-8,10-11,13H,4,9,12H2,1-3H3,(H,27,28)/t23-/m0/s1",NBGABHGMJVIVBW-QHCPKHFHSA-N,True
12,DH-2022-Small-Drug-Approvals-v3.pdf,C[C@H](Nc1ccc(C#N)n(C)c1=O)c1cc2cc(Cl)ccc2[nH]c1=O,"InChI=1S/C18H15ClN4O2/c1-10(21-16-6-4-13(9-20)23(2)18(16)25)14-8-11-7-12(19)3-5-15(11)22-17(14)24/h3-8,10,21H,1-2H3,(H,22,24)/t10-/m0/s1",NEQYWYXGTJDAKR-JTQLQIEISA-N,True
13,DH-2022-Small-Drug-Approvals-v3.pdf,[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@H](C(C)=O)CC[C@@]34[H])[C@@]1(C)CC[C@@](C)(O)C2,"InChI=1S/C22H36O2/c1-14(23)17-7-8-18-16-6-5-15-13-20(2,24)11-12-21(15,3)19(16)9-10-22(17,18)4/h15-19,24H,5-13H2,1-4H3/t15-,16-,17+,18-,19-,20+,21-,22+/m0/s1",PGTVWKLGGCQMBR-FLBATMFCSA-N,True
