,source,smiles,inchi,inchikey,validation
0,DH-MOTM-Poster-Jan2023-1.pdf,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,"InChI=1S/C22H21F4N5O3/c1-11(22(24,25)26)31-19(27)17(20(28)32)18(30-31)13-5-3-12(4-6-13)10-29-21(33)15-9-14(23)7-8-16(15)34-2/h3-9,11H,10,27H2,1-2H3,(H2,28,32)(H,29,33)/t11-/m0/s1",FWZAWAUZXYCBKZ-NSHDSACASA-N,True
1,DH-MOTM-Poster-Jan2023-1.pdf,COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O,"InChI=1S/C27H36N6O3/c1-36-18-17-33(15-5-4-8-21-12-11-20-7-6-14-28-25(20)31-21)16-13-24(27(34)35)32-26-22-9-2-3-10-23(22)29-19-30-26/h2-3,9-12,19,24H,4-8,13-18H2,1H3,(H,28,31)(H,34,35)(H,29,30,32)/t24-/m0/s1",CWOFQJBATWQSHL-DEOSSOPVSA-N,True
2,DH-MOTM-Poster-Jan2023-1.pdf,C[C@H]1CN(C)CCN1c1cc(NC(=O)Cn2cc(-c3cc(C(N)=O)c(O)c(F)c3F)c3c(=O)n4c(nc32)CCC4)c(Cl)c(F)n1,"InChI=1S/C29H28ClF3N8O4/c1-13-10-38(2)6-7-40(13)19-9-17(22(30)26(33)36-19)35-20(42)12-39-11-16(14-8-15(27(34)44)25(43)24(32)23(14)31)21-28(39)37-18-4-3-5-41(18)29(21)45/h8-9,11,13,43H,3-7,10,12H2,1-2H3,(H2,34,44)(H,35,36,42)/t13-/m0/s1",LGAFZGSECXDYIR-ZDUSSCGKSA-N,True
3,DH-MOTM-Poster-Jan2023-1.pdf,Cc1ccc([C@H]2C[C@@H]2COc2cc(NCc3nnc(C)s3)nc(C)n2)nc1,"InChI=1S/C19H22N6OS/c1-11-4-5-16(20-8-11)15-6-14(15)10-26-18-7-17(22-12(2)23-18)21-9-19-25-24-13(3)27-19/h4-5,7-8,14-15H,6,9-10H2,1-3H3,(H,21,22,23)/t14-,15+/m1/s1",WQKPZDLZRFTMTI-CABCVRRESA-N,True
4,DH-MOTM-Poster-Jan2023-1.pdf,CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21,"InChI=1S/C22H25N3O2/c1-3-21(26)24-19-6-4-5-16-17(12-23-13-18(16)19)14-7-9-20-15(11-14)8-10-22(27)25(20)2/h7,9,11-13,19H,3-6,8,10H2,1-2H3,(H,24,26)/t19-/m1/s1",VDEUDSRUMNAXJG-LJQANCHMSA-N,True
5,DH-MOTM-Poster-Jan2023-1.pdf,[H][C@@]1(c2ccc(OC)cc2N(CC)Cc2ccc(CCNCC)cc2)CCc2cc(O)ccc2C1,"InChI=1S/C30H38N2O2/c1-4-31-17-16-22-6-8-23(9-7-22)21-32(5-2)30-20-28(34-3)14-15-29(30)26-11-10-25-19-27(33)13-12-24(25)18-26/h6-9,12-15,19-20,26,31,33H,4-5,10-11,16-18,21H2,1-3H3/t26-/m1/s1",SIFNOOUKXBRGGB-AREMUKBSSA-N,True
6,DH-MOTM-Poster-Jan2023-1.pdf,Cc1ccc(C2CC2)c(-c2ccc3c(c2)CCCO3)c1[C@H](OC(C)(C)C)C(=O)O,"InChI=1S/C25H30O4/c1-15-7-11-19(16-8-9-16)22(21(15)23(24(26)27)29-25(2,3)4)18-10-12-20-17(14-18)6-5-13-28-20/h7,10-12,14,16,23H,5-6,8-9,13H2,1-4H3,(H,26,27)/t23-/m0/s1",UDFCYQOJPMKLMT-QHCPKHFHSA-N,True
7,DH-MOTM-Poster-Jan2023-1.pdf,Cc1cc(-c2ccc3c(c2)CC[C@H]3N2CC3(CCN(C(=O)Cc4cn5cc(C)sc5n4)CC3)C2)nc(O)n1,"InChI=1S/C29H32N6O2S/c1-18-11-24(32-27(37)30-18)21-3-5-23-20(12-21)4-6-25(23)35-16-29(17-35)7-9-33(10-8-29)26(36)13-22-15-34-14-19(2)38-28(34)31-22/h3,5,11-12,14-15,25H,4,6-10,13,16-17H2,1-2H3,(H,30,32,37)/t25-/m1/s1",QVWZNQBFKUFFHO-RUZDIDTESA-N,False
8,DH-MOTM-Poster-Jan2023-1.pdf,[H]C1234(C)CCCC1C2C3C41C2C34C21C31C23C5C6(C7C68C76C87C68C76C79C%10%11C%12%13C(CCCCCCCCCCCCCCCCCCCCCCC%14C%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14C%16%15C%14%16C%15%14%17C%16%15%18C%14%16%19C%17%15%14%20C%18%16%15%17C%19%14%16%18C%20%15%14%19C%17%16%15%20C%18%14%16%17C%19%15%14%18C%20%16%15%19C%17%14%16%20C%18%15%14%17C%19%16%15%18C%20%14%16%19C%17%15%14%20C%18%16%15%17C%19%14%16%18C%20%15%14%19C%17%16%15%20C%18%14%16%17C%19%15%14%18C%20%16%15%19%21C%17%14%16%20%22C%18%15%14%17%23C%19%16%15%18%24C%21%20%14%16%19%25C%22%17%15%14%20%21C%23%18%16%15%17%22C%24%19%14%16%18%23C%25%20%15%14%19%24C%21%17%16%15%20%25C%22%18%14%16%17%21C%23%19%15%14%18%22C%24%20%16%15%19%23C%25%17%14%16%20%24C%21%18%15%14%17%25C%22%19%16%15%18%21C%23%20%14%16%19%22C%24%17%15%14%20%23C%25%18%16%15%17%24C%21%19%14%16%18%25C%22%20%15%14%19%21C%15%20%22%26%27%28C%29%30%31%32%33%34C%35%36%37%38%39%40C%41%42%43%44%45%46C%47%48%49%50%51%52C%53%54%55C%56%57C%53%47%58%59C%56%54%48%47%53C%57%55%58%49%48%54C%59%47%50%41%49%55C%53%48%51%42%41%47C%54%52%49%43%42%48C%55%41%44%35%43%49C%47%42%45%36%35%41C%48%46%43%37%36%42C%49%35%38%29%37%43C%41%36%39%30%29%35C%42%40%37%31%30%36C%43%29%32%15%31%37C%35%30%33%20%15%29C%36%34%31%22%20%30C%23%17%16%14%26%22C%37%15%18%20%19%27C%24%29%25%30%21%28%22)C%12C%13%10C%117C896)C52C341,,,False
9,DH-MOTM-Poster-Jan2023-1.pdf,OCC1O[C@@H](S[C@@H]2O[C@H](CO)C(O)C(n3cc(-c4cccc(F)c4)nn3)[C@H]2O)[C@H](O)[C@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O,"InChI=1S/C28H30F2N6O8S/c29-15-5-1-3-13(7-15)17-9-35(33-31-17)21-23(39)19(11-37)43-27(25(21)41)45-28-26(42)22(24(40)20(12-38)44-28)36-10-18(32-34-36)14-4-2-6-16(30)8-14/h1-10,19-28,37-42H,11-12H2/t19-,20?,21?,22-,23?,24+,25-,26-,27+,28+/m1/s1",YGIDGBAHDZEYMT-HOMPFIGDSA-N,False
