,source,smiles,inchi,inchikey,validation
0,2021-MOTM-Jan.pdf,CO[C@@H]1CC[C@@H](n2c([C@@H]3CCCC(=O)N3c3ccc(F)c(F)c3)nc3cc(-c4c(C)noc4C)ccc32)CC1,"InChI=1S/C30H32F2N4O3/c1-17-29(18(2)39-34-17)19-7-14-26-25(15-19)33-30(36(26)20-8-11-22(38-3)12-9-20)27-5-4-6-28(37)35(27)21-10-13-23(31)24(32)16-21/h7,10,13-16,20,22,27H,4-6,8-9,11-12H2,1-3H3/t20-,22-,27-/m0/s1",SKDNDJWEBPQKCS-CLHVYKLBSA-N,True
1,2021-MOTM-Jan.pdf,CC1=C(C#N)N=CC(=C1)N2C(=O)C3(CCC3)N(C4=CN=C(N=C4)OC5CCNCC5)C2=S,"InChI=1S/C22H23N7O2S/c1-14-9-15(11-25-18(14)10-23)28-19(30)22(5-2-6-22)29(21(28)32)16-12-26-20(27-13-16)31-17-3-7-24-8-4-17/h9,11-13,17,24H,2-8H2,1H3",RRMBWBIRGGAWIC-UHFFFAOYSA-N,True
2,2021-MOTM-Jan.pdf,[H][C@]1(c2ccnc3ccc(F)cc32)CC[C@@]([H])([C@@H](C)NC(=O)c2ccc(Cl)cc2)CC1,"InChI=1S/C24H24ClFN2O/c1-15(28-24(29)18-6-8-19(25)9-7-18)16-2-4-17(5-3-16)21-12-13-27-23-11-10-20(26)14-22(21)23/h6-17H,2-5H2,1H3,(H,28,29)/t15-,16-,17+/m1/s1",AOJCHFNHRLPISK-ZACQAIPSSA-N,True
3,2021-MOTM-Jan.pdf,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@H](C)O1,"InChI=1S/C21H25N5O2/c1-13-10-26(11-14(2)27-13)19-9-18(22-12-23-19)20-16-8-15(28-21(3)6-7-21)4-5-17(16)24-25-20/h4-5,8-9,12-14H,6-7,10-11H2,1-3H3,(H,24,25)/t13-,14+",ATUUNJCZCOMUKD-OKILXGFUSA-N,True
4,2021-MOTM-Jan.pdf,Cc1cc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,"InChI=1S/C29H37N5O2/c1-20-15-21(2)34(32-20)27-7-3-5-24(16-27)25(17-28(35)36)19-33-14-12-22(18-33)8-10-26-11-9-23-6-4-13-30-29(23)31-26/h3,5,7,9,11,15-16,22,25H,4,6,8,10,12-14,17-19H2,1-2H3,(H,30,31)(H,35,36)/t22-,25-/m1/s1",ZMXBIIQMSGOIRZ-RCZVLFRGSA-N,True
5,2021-MOTM-Jan.pdf,CCOC(=O)OC[C@H]1O[C@@H](Oc2nn(C(C)C)c(C)c2Cc2ccc(OC(C)C)cc2)[C@H](O)[C@@H](O)[C@@H]1O,"InChI=1S/C26H38N2O9/c1-7-33-26(32)34-13-20-21(29)22(30)23(31)25(36-20)37-24-19(16(6)28(27-24)14(2)3)12-17-8-10-18(11-9-17)35-15(4)5/h8-11,14-15,20-23,25,29-31H,7,12-13H2,1-6H3/t20-,21-,22+,23-,25+/m1/s1",UAOCLDQAQNNEAX-ABMICEGHSA-N,True
6,2021-MOTM-Jan.pdf,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC.CC12C34=C(C5CC5)C5=N6C78=N13=C6(=N=724)N8=C5.CCC.CCCCCCCCCC,,,False
7,2021-MOTM-Jan.pdf,C=CC(=O)NCCOCCNC(=O)CCN1CCC(c2cc(OC(C)C)c(Nc3ncc(Cl)c(Nc4ccccc4[S@SP3](=O)(=O)C(C)C)n3)cc2C)CC1,"InChI=1S/C38H52ClN7O6S/c1-7-35(47)40-15-20-51-21-16-41-36(48)14-19-46-17-12-28(13-18-46)29-23-33(52-25(2)3)32(22-27(29)6)44-38-42-24-30(39)37(45-38)43-31-10-8-9-11-34(31)53(49,50)26(4)5/h7-11,22-26,28H,1,12-21H2,2-6H3,(H,40,47)(H,41,48)(H2,42,43,44,45)",XGZORHKVFKUMAV-UHFFFAOYSA-N,True
8,2021-MOTM-Jan.pdf,[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"InChI=1S/C28H33N7O2/c1-7-27(36)30-22-16-23(26(37-6)17-25(22)34(4)15-14-33(2)3)32-28-29-13-12-21(31-28)20-18-35(5)24-11-9-8-10-19(20)24/h7-13,16-18H,1,14-15H2,2-6H3,(H,30,36)(H,29,31,32)/i1D2,5D3",DUYJMQONPNNFPI-ZFTIYMCPSA-N,True
9,2021-MOTM-Jan.pdf,Cc1nn(C2CC2)c2c1[C@@H](c1ccc(Cl)cc1)N(c1cc(C)c(=O)n(C)c1)C2=O,"InChI=1S/C22H21ClN4O2/c1-12-10-17(11-25(3)21(12)28)26-19(14-4-6-15(23)7-5-14)18-13(2)24-27(16-8-9-16)20(18)22(26)29/h4-7,10-11,16,19H,8-9H2,1-3H3/t19-/m1/s1",PXGREUPWZAUELV-LJQANCHMSA-N,True
10,2021-MOTM-Jan.pdf,CC1CCN(c2ccnc(NCc3cn(C)cn3)n2)CC1,"InChI=1S/C15H22N6/c1-12-4-7-21(8-5-12)14-3-6-16-15(19-14)17-9-13-10-20(2)11-18-13/h3,6,10-12H,4-5,7-9H2,1-2H3,(H,16,17,19)",PWKAYICUBVNJAZ-UHFFFAOYSA-N,True
11,2021-MOTM-Jan.pdf,C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3F)C(=O)N(Cc3cccc(N4CC(N5CCN(CC)CC5)C4)n3)C[C@@H]2N1C(=O)NCc1ccccc1,"InChI=1S/C39H48FN9O4/c1-3-15-47-27-37(51)48-34(20-29-13-14-32(50)21-33(29)40)38(52)46(26-36(48)49(47)39(53)41-22-28-9-6-5-7-10-28)23-30-11-8-12-35(42-30)45-24-31(25-45)44-18-16-43(4-2)17-19-44/h3,5-14,21,31,34,36,50H,1,4,15-20,22-27H2,2H3,(H,41,53)/t34-,36-/m0/s1",ZGNKNLOBYFTGRG-GIWKVKTRSA-N,True
12,2021-MOTM-Jan.pdf,C[C@@H](O)CNC(=O)c1ncc([S@TB6](=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1N,"InChI=1S/C16H16F3N3O5S/c1-9(23)7-22-15(24)14-13(20)6-12(8-21-14)28(25,26)11-4-2-10(3-5-11)27-16(17,18)19/h2-6,8-9,23H,7,20H2,1H3,(H,22,24)/t9-/m1/s1",UMOGNCVNHXWFIX-SECBINFHSA-N,True
13,2021-MOTM-Jan.pdf,C=C(C)[C@@H]1CC[C@@]2(CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC7(C6)CC(C7)(C(=O)O)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12)C(=O)O,"InChI=1S/C39H54O6/c1-22(2)24-10-15-38(30(40)41)17-16-35(6)26(29(24)38)8-9-28-34(5)13-11-25(33(3,4)27(34)12-14-36(28,35)7)23-18-37(19-23)20-39(21-37,31(42)43)32(44)45/h11,18,24,26-29H,1,8-10,12-17,19-21H2,2-7H3,(H,40,41)(H,42,43)(H,44,45)/t24-,26+,27-,28+,29+,34-,35+,36+,38-/m0/s1",BJXRINPAPGTVSM-XRDOSIMNSA-N,True
